," ""Frames""","""Bytes""","""AVG""","""Frames_src""","""Bytes_src""","""AVG_src""","""Frames_dst""","""Bytes_dst""","""AVG_dst"""
1766,702,121189,155,407,58892,155,295,62297,155
1767,521,83797,159,280,39353,159,241,44444,159
1768,589,94866,164,312,44525,164,277,50341,164
1769,568,93391,155,310,44233,155,258,49158,155
1770,471,75934,152,247,35497,152,224,40437,152
1771,609,100830,156,333,47929,156,276,52901,156
1772,0,0,154,0,0,154,0,0,154
1773,0,0,163,0,0,163,0,0,163
1774,0,0,153,0,0,153,0,0,153
1775,0,0,155,0,0,155,0,0,155
1776,0,0,154,0,0,154,0,0,154
1777,0,0,156,0,0,156,0,0,156
1778,0,0,156,0,0,156,0,0,156
1779,0,0,164,0,0,164,0,0,164
1780,0,0,159,0,0,159,0,0,159
1781,208,47519,156,98,14348,156,110,33171,156
1782,0,0,154,0,0,154,0,0,154
1783,0,0,155,0,0,155,0,0,155
1784,0,0,152,0,0,152,0,0,152
1785,0,0,155,0,0,155,0,0,155
1786,0,0,154,0,0,154,0,0,154
1787,0,0,153,0,0,153,0,0,153
1788,0,0,153,0,0,153,0,0,153
1789,0,0,155,0,0,155,0,0,155
1790,0,0,159,0,0,159,0,0,159
1791,0,0,164,0,0,164,0,0,164
1792,0,0,155,0,0,155,0,0,155
1793,0,0,152,0,0,152,0,0,152
1794,0,0,156,0,0,156,0,0,156
1795,0,0,154,0,0,154,0,0,154
1796,0,0,163,0,0,163,0,0,163
1797,0,0,153,0,0,153,0,0,153
1798,0,0,155,0,0,155,0,0,155
1799,0,0,154,0,0,154,0,0,154
1800,0,0,156,0,0,156,0,0,156
1801,0,0,156,0,0,156,0,0,156
1802,0,0,164,0,0,164,0,0,164
1803,0,0,159,0,0,159,0,0,159
1804,0,0,156,0,0,156,0,0,156
1805,0,0,154,0,0,154,0,0,154
1806,0,0,155,0,0,155,0,0,155
1807,0,0,152,0,0,152,0,0,152
1808,0,0,155,0,0,155,0,0,155
1809,0,0,154,0,0,154,0,0,154
1810,0,0,153,0,0,153,0,0,153
1811,0,0,153,0,0,153,0,0,153
1812,0,0,155,0,0,155,0,0,155
1813,0,0,159,0,0,159,0,0,159
1814,0,0,164,0,0,164,0,0,164
1815,0,0,155,0,0,155,0,0,155
1816,0,0,152,0,0,152,0,0,152
1817,0,0,156,0,0,156,0,0,156
1818,0,0,154,0,0,154,0,0,154
1819,0,0,163,0,0,163,0,0,163
1820,0,0,153,0,0,153,0,0,153
1821,0,0,155,0,0,155,0,0,155
1822,0,0,154,0,0,154,0,0,154
1823,0,0,156,0,0,156,0,0,156
1824,0,0,156,0,0,156,0,0,156
1825,0,0,164,0,0,164,0,0,164
1826,0,0,159,0,0,159,0,0,159
1827,0,0,156,0,0,156,0,0,156
1828,0,0,154,0,0,154,0,0,154
1829,0,0,155,0,0,155,0,0,155
1830,0,0,152,0,0,152,0,0,152
1831,0,0,155,0,0,155,0,0,155
1832,0,0,154,0,0,154,0,0,154
1833,0,0,153,0,0,153,0,0,153
1834,0,0,153,0,0,153,0,0,153
1835,0,0,155,0,0,155,0,0,155
1836,0,0,159,0,0,159,0,0,159
1837,0,0,164,0,0,164,0,0,164
1838,0,0,155,0,0,155,0,0,155
1839,0,0,152,0,0,152,0,0,152
1840,0,0,156,0,0,156,0,0,156
1841,1181,81884,154,586,39912,154,595,41972,154
1842,1169,81016,163,581,39448,163,588,41568,163
1843,1190,81522,153,593,39776,153,597,41746,153
1844,1190,81808,155,590,39772,155,600,42036,155
1845,1151,79978,154,571,39079,154,580,40899,154
1846,1184,81098,156,589,39551,156,595,41547,156
1847,1216,85559,156,601,41753,156,615,43806,156
1848,1202,83354,164,593,40337,164,609,43017,164
1849,1170,80488,159,582,39282,159,588,41206,159
1850,1182,81894,156,587,39906,156,595,41988,156
1851,1199,82370,154,597,40151,154,602,42219,154
1852,1168,81278,155,577,39467,155,591,41811,155
1853,1201,81474,152,599,39696,152,602,41778,152
1854,1166,80670,155,578,39165,155,588,41505,155
1855,1210,83666,154,599,40618,154,611,43048,154
1856,1189,82446,153,591,40215,153,598,42231,153
1857,1178,81840,153,582,39729,153,596,42111,153
1858,1158,79968,155,576,39075,155,582,40893,155
1859,1171,81311,159,580,39554,159,591,41757,159
1860,1183,81998,164,585,39835,164,598,42163,164
1861,1166,79986,155,581,39102,155,585,40884,155
1862,1185,82364,152,586,40010,152,599,42354,152
1863,1176,80794,156,585,39424,156,591,41370,156
1864,439,37033,154,155,14775,154,284,22258,154
1865,454,38725,163,161,15837,163,293,22888,163
1866,442,37293,153,155,14775,153,287,22518,153
1867,458,39619,155,163,16093,155,295,23526,155
1868,440,36991,154,155,14679,154,285,22312,154
1869,454,38597,156,161,15709,156,293,22888,156
1870,439,36929,156,155,14679,156,284,22250,156
1871,457,38719,164,163,15793,164,294,22926,164
1872,441,37037,159,155,14679,159,286,22358,159
1873,457,39565,156,163,16093,156,294,23472,156
1874,441,37021,154,156,14721,154,285,22300,154
1875,454,38597,155,161,15709,155,293,22888,155
1876,440,36983,152,155,14679,152,285,22304,152
1877,453,38459,155,161,15653,155,292,22806,155
1878,441,37021,154,156,14721,154,285,22300,154
1879,454,39367,153,161,15953,153,293,23414,153
1880,442,37051,153,156,14721,153,286,22330,153
1881,453,38551,155,161,15709,155,292,22842,155
1882,446,37865,159,158,15355,159,288,22510,159
1883,458,38765,164,163,15793,164,295,22972,164
1884,440,36991,155,155,14679,155,285,22312,155
1885,463,39841,152,165,16177,152,298,23664,152
1886,441,37037,156,155,14679,156,286,22358,156
1887,136,18249,154,53,9116,154,83,9133,154
1888,128,17697,163,49,8770,163,79,8927,163
1889,96,9414,153,39,4049,153,57,5365,153
1890,130,17668,155,50,8829,155,80,8839,155
1891,94,9838,154,38,4121,154,56,5717,154
1892,129,17715,156,49,8746,156,80,8969,156
1893,135,18072,156,53,9019,156,82,9053,156
1894,91,8872,164,37,3787,164,54,5085,164
1895,132,18108,159,51,9073,159,81,9035,159
1896,92,9076,156,38,3991,156,54,5085,156
1897,129,18243,154,49,8986,154,80,9257,154
1898,131,17750,155,51,8911,155,80,8839,155
1899,93,9703,152,37,3986,152,56,5717,152
1900,137,18209,155,53,9048,155,84,9161,155
1901,137,19320,154,51,9504,154,86,9816,154
1902,94,9273,153,39,4016,153,55,5257,153
1903,132,17865,153,51,8854,153,81,9011,153
1904,125,17365,155,47,8610,155,78,8755,155
1905,96,9414,159,39,4049,159,57,5365,159
1906,129,17533,164,49,8694,164,80,8839,164
1907,95,9973,155,39,4256,155,56,5717,155
1908,126,17516,152,48,8761,152,78,8755,152
1909,129,17570,156,49,8828,156,80,8742,156
1910,371,41751,154,162,18866,154,209,22885,154
1911,368,39185,163,162,17960,163,206,21225,163
1912,379,41428,153,168,19220,153,211,22208,153
1913,384,40918,155,170,18936,155,214,21982,155
1914,378,41742,154,166,19932,154,212,21810,154
1915,392,42380,156,174,19600,156,218,22780,156
1916,370,39259,156,163,18004,156,207,21255,156
1917,403,47877,164,180,22610,164,223,25267,164
1918,368,39740,159,162,18331,159,206,21409,159
1919,364,38900,156,159,17846,156,205,21054,156
1920,368,39487,154,161,18244,154,207,21243,154
1921,364,39726,155,159,18495,155,205,21231,155
1922,381,40530,152,168,18707,152,213,21823,152
1923,373,39588,155,164,18237,155,209,21351,155
1924,368,39417,154,162,18273,154,206,21144,154
1925,368,39407,153,164,18386,153,204,21021,153
1926,371,39374,153,163,18122,153,208,21252,153
1927,409,61002,155,183,37819,155,226,23183,155
1928,357,38552,159,161,18035,159,196,20517,159
1929,360,38738,164,164,18221,164,196,20517,164
1930,365,39168,155,163,18223,155,202,20945,155
1931,367,39266,152,161,18066,152,206,21200,152
1932,364,39750,156,159,18283,156,205,21467,156
1933,1873,136597,154,922,62557,154,951,74040,154
